id,passenger_name,age,gender,train_no,booking_type,source,destination,coach,seat_no,fare,travel_date,ticket_status,crowd_level
1,Nert Spitell,54,Female,84471,Direct,Salem,Madurai,A2,53,224,1/17/2026,Confirmed,low
2,Lelah Manston,76,Genderfluid,75255,Tatkal,Coimbatore,Chennai,B1,41,2102,9/1/2018,Waiting,high
3,Lodovico Dicke,36,Male,88415,Counter,Tirunelveli,Salem,S1,29,2117,3/26/2025,RAC,high
4,Ruperta Talloe,16,Female,96439,Online,Chennai,Trichy,A1,52,1932,3/10/2019,Waiting,high
5,Daveen Wakeley,37,Genderfluid,80648,Direct,Tirunelveli,Trichy,D1,24,713,7/25/2020,Cancelled,low
6,Che Critchell,66,Male,34406,Counter,Coimbatore,Chennai,S2,67,1955,9/17/2021,Cancelled,high
7,Cori Fortnon,38,Female,87429,Online,Madurai,Tirunelveli,B1,6,2373,9/1/2019,Waiting,high
8,Jada Fasset,46,Female,53932,Tatkal,Hyderabad,Trichy,A1,12,974,12/2/2020,Confirmed,medium
9,Dniren Huriche,48,Female,8299,Direct,Bangalore,Hyderabad,A1,44,2207,3/20/2020,Cancelled,high
10,Caprice Strowlger,19,Female,52314,Online,Tirunelveli,Trichy,S1,8,1111,10/11/2021,Cancelled,medium
11,Bernhard Gotling,19,Male,22098,Direct,Hyderabad,Chennai,D1,56,954,12/12/2022,RAC,low
12,Stu Myhill,38,Male,99790,Online,Hyderabad,Chennai,D1,60,211,1/10/2025,Cancelled,low
13,Edouard Garnham,24,Male,1300,Counter,Chennai,Hyderabad,S2,64,397,10/26/2022,Cancelled,low
14,Tracey Rollings,12,Male,52313,Tatkal,Erode,Coimbatore,S1,5,268,4/18/2022,Waiting,low
15,Avril Ciani,52,Female,49365,Direct,Coimbatore,Hyderabad,D1,19,1272,10/2/2019,Confirmed,medium
16,Haleigh Kinney,76,Female,21126,Tatkal,Coimbatore,Coimbatore,A2,10,648,11/14/2024,RAC,low
17,Wendie Santus,29,Female,50626,Direct,Bangalore,Tirunelveli,S1,25,514,9/4/2019,Waiting,low
18,Noami Efford,31,Female,93762,Direct,Hyderabad,Coimbatore,S3,10,728,10/4/2023,Confirmed,low
19,Pandora Kellie,14,Female,44594,Tatkal,Hyderabad,Salem,A2,63,248,4/20/2022,RAC,low
20,Homer Vasentsov,23,Male,52338,Tatkal,Coimbatore,Erode,S2,46,2206,7/14/2018,Cancelled,high
21,Amye Cradick,69,Female,88309,Online,Tirunelveli,Chennai,S1,71,109,3/4/2024,Cancelled,low
22,Ilise Blakeney,25,Female,84030,Online,Erode,Bangalore,A2,16,1766,10/3/2022,Confirmed,high
23,Janela Plank,33,Female,60665,Direct,Madurai,Hyderabad,S3,15,1693,1/7/2024,Cancelled,medium
24,Addie Clemonts,25,Female,99304,Tatkal,Trichy,Erode,S2,8,1727,7/16/2018,RAC,high
25,Hebert Dobrovolski,8,Male,75438,Direct,Erode,Salem,S2,30,2207,10/17/2025,Cancelled,high
26,Niven Trobey,60,Male,11073,Counter,Erode,Erode,A2,36,124,2/24/2021,Confirmed,low
27,Augustine Hagyard,53,Female,64987,Tatkal,Chennai,Madurai,B1,65,2205,8/12/2024,RAC,high
28,Katleen Ollerearnshaw,22,Female,70471,Direct,Erode,Erode,S3,50,699,1/3/2025,RAC,low
29,Deck Shayes,27,Male,50554,Online,Trichy,Coimbatore,S1,31,489,8/9/2025,Waiting,low
30,Lonny Piotrowski,64,Male,25539,Counter,Hyderabad,Tirunelveli,S2,21,278,5/11/2025,Waiting,low
31,Travis Crannis,29,Male,53737,Tatkal,Bangalore,Trichy,A1,18,1582,8/30/2018,Waiting,medium
32,Candi Mea,76,Female,85605,Online,Tirunelveli,Chennai,A2,1,1088,8/2/2018,RAC,medium
33,Emelita Leggis,39,Female,97845,Counter,Trichy,Coimbatore,A2,59,1854,5/26/2025,Cancelled,high
34,Bartholomeo Herion,9,Polygender,13512,Counter,Tirunelveli,Salem,A1,5,732,9/7/2022,Confirmed,low
35,Ogden Elmhirst,44,Male,80389,Tatkal,Salem,Trichy,B1,40,834,11/22/2025,Confirmed,low
36,Annemarie Tappin,23,Female,63938,Direct,Hyderabad,Madurai,D1,1,822,1/28/2022,Confirmed,low
37,Benson Fortey,45,Male,97191,Counter,Bangalore,Coimbatore,S2,8,810,4/10/2022,Cancelled,low
38,Ilyssa Rumney,55,Female,97941,Tatkal,Trichy,Coimbatore,D1,16,1971,8/5/2019,Confirmed,high
39,Taddeo Steddall,54,Male,46651,Tatkal,Salem,Chennai,D1,13,410,4/27/2019,Cancelled,low
40,Miller Watting,68,Male,30991,Online,Erode,Coimbatore,A2,5,592,6/15/2021,Waiting,low
41,Sutherland Shingler,62,Male,41410,Tatkal,Coimbatore,Trichy,S1,1,1773,3/27/2023,Cancelled,high
42,Meggie Twede,17,Non-binary,52404,Tatkal,Chennai,Madurai,A1,12,1093,4/15/2020,Cancelled,medium
43,Erroll Wyon,11,Male,28239,Counter,Bangalore,Madurai,B1,66,1811,4/25/2022,Waiting,high
44,Nichol McGready,31,Female,56482,Online,Madurai,Bangalore,A1,15,1137,9/19/2025,RAC,medium
45,Cort McKeating,5,Male,67374,Direct,Madurai,Chennai,S1,57,2110,6/20/2020,Cancelled,high
46,Che Roly,8,Agender,96262,Counter,Salem,Bangalore,S3,11,1515,11/3/2019,RAC,medium
47,Euell Tunaclift,61,Male,37866,Direct,Erode,Salem,S1,12,254,8/4/2019,Waiting,low
48,Wally Leckie,47,Male,75316,Counter,Salem,Bangalore,B1,62,351,2/15/2020,Cancelled,low
49,Baudoin Vickars,39,Male,58688,Direct,Hyderabad,Coimbatore,S2,46,1665,8/18/2025,Waiting,medium
50,Dannel Metts,66,Male,17746,Online,Trichy,Madurai,S3,39,769,8/3/2022,Cancelled,low
51,Leola Mattevi,39,Genderqueer,52471,Online,Chennai,Coimbatore,D1,25,1898,5/5/2022,RAC,high
52,Laina Toynbee,53,Female,25699,Tatkal,Erode,Salem,B1,43,714,1/6/2021,Confirmed,low
53,Dulcine Dewitt,53,Female,46895,Tatkal,Hyderabad,Bangalore,A2,19,1160,10/16/2024,Waiting,medium
54,Antone Panas,53,Male,34808,Tatkal,Coimbatore,Coimbatore,D1,44,2355,6/23/2019,Confirmed,high
55,Benoit Costello,19,Male,96855,Online,Erode,Bangalore,D1,44,1215,1/29/2026,Confirmed,medium
56,Arel Rignoldes,56,Male,3028,Tatkal,Chennai,Erode,S1,20,2326,3/7/2023,Waiting,high
57,Randy Lemmen,62,Male,89065,Counter,Chennai,Bangalore,S3,57,996,5/23/2024,RAC,medium
58,Yves Castiello,41,Male,85811,Online,Bangalore,Coimbatore,A1,55,1686,5/8/2024,Waiting,medium
59,Lorrie Vaun,20,Female,26153,Online,Salem,Hyderabad,B1,4,2408,10/11/2019,Waiting,high
60,Gwynne Ziemsen,58,Female,68669,Counter,Chennai,Coimbatore,S3,70,431,10/27/2021,Cancelled,low
61,Artair Grestye,68,Male,69033,Counter,Coimbatore,Madurai,S2,48,363,10/23/2019,Cancelled,low
62,Dud Boughtwood,10,Male,50682,Counter,Madurai,Bangalore,B1,53,1916,11/21/2019,Confirmed,high
63,Catharina Madge,73,Female,4252,Direct,Tirunelveli,Salem,A2,1,2108,11/25/2021,Waiting,high
64,Pansie Axel,6,Female,43920,Direct,Erode,Salem,S2,7,2019,10/3/2023,Cancelled,high
65,Jordon McGrill,71,Male,13868,Tatkal,Trichy,Erode,S3,39,1826,10/29/2019,Waiting,high
66,Erin Jenteau,19,Male,7578,Online,Madurai,Bangalore,A2,48,732,5/21/2019,Cancelled,low
67,Trisha Sisson,39,Female,35912,Tatkal,Hyderabad,Erode,B1,6,2042,11/9/2025,Waiting,high
68,Conrade Litherland,53,Male,29101,Tatkal,Tirunelveli,Bangalore,B1,31,2371,1/4/2019,RAC,high
69,Dorita Frude,74,Female,35584,Tatkal,Chennai,Bangalore,A1,3,1347,12/13/2019,Waiting,medium
70,Keelby Bettleson,48,Male,60385,Online,Bangalore,Bangalore,A2,12,2413,11/13/2023,Waiting,high
71,Kiley Hastings,78,Female,65679,Counter,Tirunelveli,Erode,D1,48,1402,4/21/2023,Cancelled,medium
72,Candide Fewell,60,Female,46919,Direct,Erode,Erode,A2,13,1812,3/25/2022,Confirmed,high
73,Nissie Gummary,70,Female,21755,Tatkal,Bangalore,Salem,D1,54,2441,7/16/2025,RAC,high
74,Eugene Tylor,72,Male,19921,Tatkal,Trichy,Salem,D1,26,1196,4/8/2022,Cancelled,medium
75,Renaud Ranklin,18,Male,17058,Counter,Hyderabad,Hyderabad,S2,4,548,10/13/2020,Confirmed,low
76,June Nutley,78,Female,21043,Online,Hyderabad,Tirunelveli,A2,57,623,12/25/2023,RAC,low
77,Rozanna Nelmes,36,Female,56651,Counter,Chennai,Trichy,A2,71,1057,9/17/2020,Confirmed,medium
78,Neil Mays,68,Male,92293,Tatkal,Chennai,Chennai,A1,36,2081,1/5/2019,Waiting,high
79,Kimberlyn Bish,11,Female,34511,Tatkal,Erode,Coimbatore,S1,40,1406,4/9/2025,Waiting,medium
80,Jervis Osselton,48,Genderqueer,60614,Online,Coimbatore,Trichy,S3,42,679,11/28/2018,Waiting,low
81,Stacy Melson,76,Female,32975,Direct,Salem,Chennai,A1,25,708,6/2/2024,RAC,low
82,Sunny Pavluk,57,Genderqueer,31701,Tatkal,Tirunelveli,Trichy,A2,1,2123,6/15/2021,Confirmed,high
83,Beale Gosnoll,51,Male,20020,Online,Tirunelveli,Erode,D1,11,1145,4/29/2022,Confirmed,medium
